Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Norway,NOR,Rural population (% of total population),SP.RUR.TOTL.ZS,18.31999969,18.03002541,17.75478876,17.50641051,17.29701143,17.13871228,17.04363382,16.92814393,16.67062621,16.42942123
Norway,NOR,Urban population,SP.URB.TOTL,4275555,4325529,4368797,4411671,4448987,4481404,4527034,4585235,4643345,4687516
Norway,NOR,"Population, female",SP.POP.TOTL.FE.IN,2598195,2618168,2635137,2652072,2666588,2680009,2705700,2738460,2764080,2781763
Norway,NOR,"Population, male",SP.POP.TOTL.MA.IN,2636324,2658800,2676779,2695824,2712887,2728311,2751427,2781141,2808199,2827288
Norway,NOR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.2,10.7,10.4,10.2,9.8,10.4,9.4,9.4,..,9.422
Norway,NOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.8,7.7,7.7,7.6,7.5,7.8,8.4,7.9,..,7.775
Not classified,INX,Rural population (% of total population),SP.RUR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..
Not classified,INX,Urban population,SP.URB.TOTL,..,..,..,..,..,..,..,..,..,..
Not classified,INX,"Population, female",SP.POP.TOTL.FE.IN,..,..,..,..,..,..,..,..,..,..
Not classified,INX,"Population, male",SP.POP.TOTL.MA.IN,..,..,..,..,..,..,..,..,..,..
Not classified,INX,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,..,..,..,..,..,..,..,..,..
Not classified,INX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,..,..,..,..,..,..,..,..,..
OECD members,OED,Rural population (% of total population),SP.RUR.TOTL.ZS,19.6141696,19.54746381,19.46243497,19.34931922,19.26185576,19.14421027,19.0504484,18.94573549,18.81401537,18.67614153
